,parent_event_id,main_event,sub_events,Event_ID_decimal,Event_Type,Main_Event,Source,Event_Name,UUID,GID(s),level,Location,Hazard,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Injured_Min,Injured_Max,Deaths_Min,Deaths_Max,Displaced_Min,Displaced_Max,Homelessness_Min,Homelessness_Max,Affected_Min,Affected_Max,Buildings_Damaged_Min,Buildings_Damaged_Max,Insured_Damage_Min,Insured_Damage_Max,Insured_Damage_Unit,Insured_Damage_Inflation_Adjusted,Insured_Damage_Inflation_Adjusted_Year,Damage_Min,Damage_Max,Damage_Unit,Damage_Inflation_Adjusted,Damage_Inflation_Adjusted_Year
0,1,,[],1.00,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,UhVMf8B,"['GBR,AUT,BEL,HRV,DEU,ITA,LUX,NLD,CHE,ROU,CZE']",main,"['United Kingdom', 'Austria', 'Belgium', 'Croatia', 'Germany', 'Italy', 'Luxembourg', 'the Netherlands', 'Switzerland', 'Romania']",['Flood'],2021,7,12,2021,7,25,NULL,NULL,243,244,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2550000000,2550000000,EUR,No,NULL,10000000000,54000000000,EUR,No,NULL
49,36,,[],36.00,Multi,Wildfire,https://en.wikipedia.org/wiki?curid=7870060,2019 Australia Bushfires,CoAt77Y,['AUS.5_1'],main,[''],[''],,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,37,,[],37.00,Multi,Drought,https://en.wikipedia.org/wiki?curid=7870060,2017-2019 East Australia Drought,Rn6xXGZ,"['AUS.7_1,AUS.5_1,AUS.10_1,AUS.9_1']",main,[''],[''],,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,38,,[],38.00,Multi,Wildfire,https://en.wikipedia.org/wiki?curid=7870060,1983 Southeast Australia Bushfires,H9TVfka,"['AUS.8_1,AUS.10_1']",main,['southeast Australia&Australia'],['Wildfire'],1983,2,1,1983,2,28,NULL,NULL,75,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,39,,[],39.00,Multi,Drought,https://en.wikipedia.org/wiki?curid=7870060,1990s Queensland Drought,9eBpiVh,['AUS.7_1'],main,['Queensland&Australia'],['Drought'],1994,10,1,1994,10,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13000,13000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,40,,[],40.00,Multi,Drought,https://en.wikipedia.org/wiki?curid=7870060,Millenium Drought in southeastern Australia,6Nd8Ubi,"['AUS.5_1,AUS.7_1']",main,"['New South Wales&Australia', 'Queensland&Australia']",['Drought'],2000,1,1,2000,1,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10000,10000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,42,,[],42.00,Single,Drought,https://en.wikipedia.org/wiki?curid=51630189,2006-2008 Southeastern United States Drought,PRWhnMX,"['USA.25_1,USA.11_1,USA.43_1,USA.34_1']",main,['southeastern US&the US'],['Drought'],2006,1,1,2006,1,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1300000000,1300000000,USD,No,NULL
59,43,,[],43.00,Single,Tornado,https://en.wikipedia.org/wiki?curid=38322978,November 2005 Central United States Tornado Outbreak,fjiopgb,"['USA.17_1,USA.26_1,USA.4_1,USA.19_1,USA.25_1,USA.1_1']",main,['Missouri&the US'],['Wind'],2005,11,27,2005,11,28,15,15,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7200000,7200000,USD,No,NULL
62,44,,[],44.00,Multi,Tornado,https://en.wikipedia.org/wiki?curid=63743200,"Tornado outbreak of April 21–23, 2020",fr2uvyj,"['USA.37_1,USA.44_1,USA.4_1,USA.19_1,USA.25_1,USA.1_1,USA.10_1,USA.11_1']",main,['Madill&Oklahoma&the US'],['Wind'],2020,4,20,2020,4,20,NULL,NULL,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,45,,[],45.00,Multi,Tornado,https://en.wikipedia.org/wiki?curid=63743200,"Tornado outbreak of April 21–23, 2020",XaxDwx5,['USA.44.187_1'],main,['Onalaska&Polk County&Texas&the US'],['Wind'],2020,4,20,2020,4,20,33,33,3,3,NULL,NULL,NULL,NULL,NULL,NULL,291,291,NULL,NULL,NULL,NULL,NULL,1100000000,1100000000,USD,No,NULL
67,46,,[],46.00,Multi,Tropical Storm/Cyclone,https://en.wikipedia.org/wiki?curid=54327832 ,2015 North Indian Ocean cyclone season,omcC8EU,['USA.44.187_1'],main,['Onalaska&Polk County&Texas&the US'],['Wind'],1967,5,1,1967,5,1,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,47,,[],47.00,Single,Tropical Storm/Cyclone,https://en.wikipedia.org/wiki?curid=5589427,Tropical Cyclone Steve,vAs6zyu,"['AUS.7_1,AUS.6_1,AUS.11_1']",main,['Queensland&Australia'],"['Wind', 'Flood']",2000,2,27,2000,2,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60100000,60100000,USD,No,NULL
76,52,,[],52.00,Single,Tropical Storm/Cyclone,https://en.wikipedia.org/wiki?curid=61000334,Very Severe Cyclonic Storm Vayu,RkSAVkX,"['MDV,IND,PAK,OMN']",main,['Saurashtra Peninsula&Gujarat&India'],"['Wind', 'Flood']",2019,6,9,2019,6,18,12,12,8,8,200000,400000,NULL,NULL,6600000,6600000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,140000,140000,USD,No,NULL
87,53,,[],53.00,Single,Tropical Storm/Cyclone,https://en.wikipedia.org/wiki/Tropical_Storm_Erika,Hurricane Maria   ,Kescthg,['DMA'],main,[''],[''],,,,,,,,,,,,,,,,,,,,,,,,,,,,
