Event_ID_decimal,Event_Type,Main_Event,Hazard,Hazard_edits,Hazard_checks,Source,Event_Name,Location,Location_edit,"Location
_check",GID(s),Start_Year,Start_Year_edit,Start_Year_check,Start_Month,Start_Month_edit,Start_Month_check,Start_Day,Start_Day_edit,Start_Day_check,Start_Date_RAW,Start_Date_ID,End_Year,End_Year_edit,End_Year_check,End_Month,End_Month_edit,End_Month_check,End_Day,End_Day_edit,End_Day_check,End_Date_RAW,End_Date_ID,Injured_Min,Injured_Min_check,Injured_Min_edit,Injured_Max,Injured_Max_check,Injured_Max_edit,Injured_RAW,Injured_ID,Deaths_Min,Deaths_Min_check,Deaths_Min_edit,Deaths_Max,Deaths_Max_check,Deaths_Max_edit,Deaths_RAW,Deaths_ID,Displaced_Min,Displaced_Min_check,Displaced_Min_edit,Displaced_Max,Displaced_Max_check,Displaced_Max_edit,Displaced_RAW,Displaced_ID,Homelessness_Min,Homelessness_Min_check,Homelessness_Min_edit,Homelessness_Max,Homelessness_Max_check,Homelessness_Max_edit,Homelessness_RAW,Homelessness_ID,Affected_Min,Affected_Min_check,Affected_Min_edit,Affected_Max,Affected_Max_check,Affected_Max_edit,Affected_RAW,Affected_ID,Buildings_Damaged_Min,Buildings_Damaged_Min_check,Buildings_Damaged_Min_edit,Buildings_Damaged_Max,Buildings_Damaged_Max_check,Buildings_Damaged_Max_edit,Building_RAW,Building_ID,Insured_Damage_Min,Insured_Damage_Min_check,Insured_Damage_Min_edit,Insured_Damage_Max,"Insured_Damage_Max
_check",Insured_Damage_Max_edit,Insured_Damage_Unit,"Insured_Damage_Unit
_check",Insured_Damage_Unit_edit,Insured_Damage_Inflation_Adjusted,Insured_Damage_Inflation_Adjusted_check,Insured_Damage_Inflation_Adjusted,Insured_Damage_Inflation_Adjusted_Year,"Insured_Damage_Inflation_Adjusted_Year
_check",Insured_Damage_Inflation_Adjusted_Year_edit,Insured_Damage_RAW,Insured_Damage_ID,Damage_Min,"Damage_Min
_check",Damage_Min_edit,Damage_Max,"Damage_Max
_check",Damage_Max_edit,Damage_Units,"Damage_Units
_check",Damage_Units_edits,Damage_Inflation_Adjusted,"Damage_Inflation_Adjusted
_check",Damage_Inflation_Adjusted_edits,Damage_Inflation_Adjusted_Year,"Damage_Inflation_Adjusted_Year
_chec",Damage_Inflation_Adjusted_Year_edit,Damage_RAW,Damage_ID,Annotation Code,count towards total,Total impact fields changd,Total change in date field,Total change in location,is annotated,duplicate?,count_for_stats?
1.00,Single,Flood,Flood,0,TRUE,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,United Kingdom|Austria|Belgium|Croatia|Germany|Italy|Luxembourg|the Netherlands|Switzerland|Romania|Czech Republic,1,United Kingdom|Austria|Belgium|Croatia|Germany|Italy|Luxembourg|the Netherlands|Switzerland|Romania,"GBR,AUT,BEL,HRV,DEU,ITA,LUX,NLD,CHE,ROU,CZE",2021,0,TRUE,7,0,TRUE,12,0,TRUE,Infobox Date 12–25 July 2021,table0_1,2021,0,TRUE,7,0,TRUE,25,0,TRUE,Infobox Date 12–25 July 2021,table0_1,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,243,TRUE,0,244,TRUE,0,"At least 243 people died in the floods, including 196 in Germany, 43 in Belgium, two in Romania, one in Italy and one in Austria.",content_4,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,2000000000,2550000000,1,3000000000,2550000000,1,EUR,TRUE,0,No,TRUE,0,NULL,TRUE,0,The floods are estimated to have  cost at least €2 billion (US$2.35 billion) in insured losses.,content_17,46000000000,10000000000,1,46000000000,54000000000,1,EUR,TRUE,0,No,TRUE,0,NULL,TRUE,0,"The floods are estimated to have cost at least €2 billion (US$2.35 billion) in insured losses, with the the total damage costs being much higher, amounted to be €46 billion (US$54 billion)",content_9,2,TRUE,4,0,,TRUE,FALSE,TRUE
1.01,Single,Flood,,0,TRUE,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,Germany ,,TRUE,DEU,2021,0,TRUE,7,0,TRUE,14,1,12,"Floods started in Belgium, Germany, the Netherlands, and Switzerland on 14 July 2021 after record rainfall across western Europe caused multiple rivers to burst their banks.",content_17,2021,0,TRUE,7,0,TRUE,25,0,TRUE,Infobox Date 12–25 July 2021,table0_1,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,196,TRUE,0,196,TRUE,0,"At least 243 people died in the floods, including 196 in Germany, 43 in Belgium, two in Romania, one in Italy and one in Austria.",content_4,150,NULL,1,160,NULL,1,"It was considered unlikely that the number of deaths would rise that high, and while on 19 July the exact number of missing persons remained unclear, a search was ongoing for at least 150 people.",,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,101000,NULL,1,103000,NULL,1,"On 16 July, around 102,000 people were still without power.",,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,33400000000,TRUE,0,33400000000,TRUE,0,EUR,TRUE,0,No,TRUE,0,NULL,TRUE,0,Direct damage caused by the flooding in Germany was estimated at €33.4 billion (US$39.3 billion) with further €7.1 billion (US$8.36 billion) in indirect damage.,content_9,2,TRUE,4,1,,TRUE,FALSE,TRUE
1.02,Single,Flood,,0,TRUE,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,Germany,0,TRUE,DEU,2021,0,TRUE,7,0,TRUE,19,0,TRUE,,NULL,2021,0,TRUE,7,0,TRUE,19,0,TRUE,,,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,150,TRUE,0,150,TRUE,0,,,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,0,TRUE,0,0,0,TRUE,FALSE,FALSE
1.03,Single,Flood,,0,TRUE,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,Bavaria&Germany ,,TRUE,DEU.2_1,2021,0,TRUE,7,0,TRUE,14,0,TRUE,"Floods started in Belgium, Germany, the Netherlands, and Switzerland on 14 July 2021",content_17,2021,0,TRUE,7,0,TRUE,25,1,19,Infobox Date 12–25 July 2021,table0_1,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,2,TRUE,0,2,TRUE,0,"During the floods, 135 people died in Rhineland-Palatinate (all of whom were in the district of Ahrweiler), 47 in North Rhine-Westphalia (twenty-seven of whom in Euskirchen), and two in Bavaria.",content_54,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,1,NULL,1,2,NULL,1,"Further strong rainfall on 17 July caused flooding in Saxony and Bavaria e.g. Berchtesgadener Ache, where at least one person died.",content_88,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,2,TRUE,2,1,,TRUE,FALSE,TRUE
1.04,Single,Flood,,0,TRUE,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,Bavaria&Germany,0,TRUE,DEU.2_1,2021,0,TRUE,7,0,TRUE,17,0,TRUE,NULL,NULL,2021,0,TRUE,7,0,TRUE,17,0,TRUE,,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,,,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,1,TRUE,0,1,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,0,TRUE,0,0,0,TRUE,FALSE,FALSE
1.05,Single,Flood,,0,TRUE,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,Berchtesgadener Land&Bavaria&Germany,1,Berchtesgadener Ache&Bavaria&Germany,DEU.2.17_1,2021,0,TRUE,7,0,TRUE,17,0,TRUE,Further strong rainfall on 17 July caused flooding in Saxony and Bavaria e.g. Berchtesgadener Ache,content_88,2021,0,TRUE,7,0,TRUE,17,0,TRUE,Further strong rainfall on 17 July caused flooding in Saxony and Bavaria e.g. Berchtesgadener Ache,content_88,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,1,TRUE,0,2,1,1,"Further strong rainfall on 17 July caused flooding in Saxony and Bavaria e.g. Berchtesgadener Ache, where at least one person died.",content_88,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,2,TRUE,1,0,,TRUE,FALSE,TRUE
1.06,Single,Flood,,0,TRUE,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,Kordel&Trier-Saarburg&Rhineland-Palatinate&Germany,1,Kordel&Trier-Saarburg&Germany,DEU.11.31.7.5_1,2021,0,TRUE,7,0,TRUE,14,0,TRUE,"On 14 July, the city of Hagen declared a state of emergency, after the Volme river started overflowing its banks.",content_63,2021,0,TRUE,7,0,TRUE,14,0,TRUE,"On 14 July, the city of Hagen declared a state of emergency, after the Volme river started overflowing its banks.",content_63,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,1000,2000,1,3000,2000,1,"The village of Kordel in Trier-Saarburg, which has around 2,000 residents, has been completely cut off.",,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,2,TRUE,2,0,,TRUE,FALSE,TRUE
1.07,Single,Flood,,0,TRUE,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,Eschweiler&North Rhine-Westphalia&Germany,1,Eschweiler&Germany,DEU.10.47.4.1_1,2021,0,TRUE,7,0,TRUE,16,0,TRUE,on 16 July a dam of the Rur burst,content_82,2021,0,TRUE,7,0,TRUE,16,0,TRUE,on 16 July a dam of the Rur burst,content_82,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,301,300,1,401,300,1,all of the more than 300 patients of the St.-Antonius-Hospital Eschweiler had to be evacuated,,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,2,TRUE,2,0,,TRUE,FALSE,TRUE
1.08,Single,Flood,,0,TRUE,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,Saxony&Germany,0,TRUE,DEU.14_1,2021,0,TRUE,7,0,TRUE,15,0,TRUE,"As of 15 July, one person in Saxony remains missing.",content_87,2021,0,TRUE,7,0,TRUE,17,0,TRUE,Further strong rainfall on 17 July caused flooding in Saxony and Bavaria,content_88,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,1,TRUE,0,1,TRUE,0,one person in Saxony remains missing,,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,1,TRUE,0,0,0,TRUE,FALSE,TRUE
1.09,Single,Flood,,0,TRUE,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,district of Ahrweiler&Rhineland-Palatinate&Germany,,TRUE,DEU.11.1_1,2021,0,TRUE,7,0,TRUE,14,0,TRUE,"Floods started in Belgium, Germany, the Netherlands, and Switzerland on 14 July 2021",content_17,2021,0,TRUE,7,0,TRUE,25,1,19,Infobox Date 12–25 July 2021,table0_1,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,135,TRUE,0,135,TRUE,0,"During the floods, 135 people died in Rhineland-Palatinate (all of whom were in the district of Ahrweiler), 47 in North Rhine-Westphalia (twenty-seven of whom in Euskirchen), and two in Bavaria.",content_54,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,TRUE,0,NULL,NULL,2,TRUE,0,1,,TRUE,FALSE,TRUE
