,parent_event_id,main_event,sub_events,UUID,Event_ID_decimal,Event_Type,Main_Event,Hazard,Source,Event_Name,Location,GID(s),Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Injured_Min,Injured_Max,Deaths_Min,Deaths_Max,Displaced_Min,Displaced_Max,Homelessness_Min,Homelessness_Max,Affected_Min,Affected_Max,Buildings_Damaged_Min,Buildings_Damaged_Max,Insured_Damage_Min,Insured_Damage_Max,Insured_Damage_Unit,Insured_Damage_Inflation_Adjusted,Insured_Damage_Inflation_Adjusted_Year,Damage_Min,Damage_Max,Damage_Units,Damage_Inflation_Adjusted,Damage_Inflation_Adjusted_Year
0,1,,"['ywSrDmh', 'RP69KQ6', 'WZtHSo4', 'ENjbH6W', 'dt6K7Pp', '5a5tw7c', 'zucadDX', 'xaZu2qx', 's9pE3ud', 'Y8Bbyvj', 'TuZXSou', 'YKWDDMX', 'T2TC6F2', 'dsAX9FF', 'fU6kZ9M', 'afuzA6n', 'KtUAvNA', 'UV74dQf', 'CzzejoE', 'RdHKHPB', 'faWuniF', 'VfxjtcT', 'H8GCsdo', 'YoykdvV', '8bRBznm', 'Fm5G4BU', 'sSrFcmr', '9HUPKBQ', '28A64kT', 'RwNpqbn', '5tq2qKj', 'ypbRfiV', 'JyQdNaV', 'xGDF2cR', 'kNRkUnH', 'fCqzBxK', 'dmDFRKE', 'odJu2Gm', '6vey4kW', 'tGdxSp5', 'f9ehLUV', 'i3etPAH', 'qPwFu5G', 'UeWb4Sh', 'QBm7yez', 'DsGBQpS']",rNg32Uw,1.00,Single,Flood,['Flood'],https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,"['United Kingdom', 'Austria', 'Belgium', 'Croatia', 'Germany', 'Italy', 'Luxembourg', 'the Netherlands', 'Switzerland', 'Romania', 'Czech Republic']","['GBR,AUT,BEL,HRV,DEU,ITA,LUX,NLD,CHE,ROU,CZE']",2021,7,12,2021,7,25,NULL,NULL,243,244,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000000000,3000000000,EUR,No,NULL,46000000000,46000000000,EUR,No,NULL
1,1,rNg32Uw,[],ywSrDmh,1.01,Single,Flood,[''],https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,['Germany '],['DEU'],2021,7,14,2021,7,25,NULL,NULL,196,196,150,160,NULL,NULL,101000,103000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33400000000,33400000000,EUR,No,NULL
3,1,rNg32Uw,[],RP69KQ6,1.03,Single,Flood,[''],https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,['Bavaria&Germany '],['DEU.2_1'],2021,7,14,2021,7,25,NULL,NULL,2,2,NULL,NULL,NULL,NULL,NULL,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,1,rNg32Uw,[],WZtHSo4,1.05,Single,Flood,[''],https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,['Berchtesgadener Land&Bavaria&Germany'],['DEU.2.17_1'],2021,7,17,2021,7,17,NULL,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,1,rNg32Uw,[],ENjbH6W,1.06,Single,Flood,[''],https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,['Kordel&Trier-Saarburg&Rhineland-Palatinate&Germany'],['DEU.11.31.7.5_1'],2021,7,14,2021,7,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,1,rNg32Uw,[],dt6K7Pp,1.07,Single,Flood,[''],https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,['Eschweiler&North Rhine-Westphalia&Germany'],['DEU.10.47.4.1_1'],2021,7,16,2021,7,16,NULL,NULL,NULL,NULL,301,401,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,1,rNg32Uw,[],5a5tw7c,1.08,Single,Flood,[''],https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,['Saxony&Germany'],['DEU.14_1'],2021,7,15,2021,7,17,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,1,rNg32Uw,[],zucadDX,1.09,Single,Flood,[''],https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,['district of Ahrweiler&Rhineland-Palatinate&Germany'],['DEU.11.1_1'],2021,7,14,2021,7,25,NULL,NULL,135,135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1,rNg32Uw,[],xaZu2qx,1.10,Single,Flood,[''],https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,['North Rhine-Westphalia&Germany'],['DEU.10_1'],2021,7,14,2021,7,25,NULL,NULL,47,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,rNg32Uw,[],s9pE3ud,1.11,Single,Flood,[''],https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,['Euskirchen&North Rhine-Westphalia&Germany'],['DEU.10.13_1'],2021,7,14,2021,7,25,NULL,NULL,27,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,1,rNg32Uw,[],Y8Bbyvj,1.12,Single,Flood,[''],https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,['parts of Euskirchen&North Rhine-Westphalia&Germany'],['DEU.10.13_1'],2021,7,15,2021,7,15,NULL,NULL,NULL,NULL,4500,4500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,1,rNg32Uw,[],TuZXSou,1.13,Single,Flood,[''],https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,['near Euskirchen&North Rhine-Westphalia&Germany'],['DEU.10.13_1'],2021,7,16,2021,7,16,NULL,NULL,NULL,NULL,350,370,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
