,parent_event_id,main_event,sub_events,Event_ID_decimal,Event_Type,Main_Event,Source,Event_Name,UUID,GID(s),level,Location,Hazard,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Injured_Min,Injured_Max,Deaths_Min,Deaths_Max,Displaced_Min,Displaced_Max,Homelessness_Min,Homelessness_Max,Affected_Min,Affected_Max,Buildings_Damaged_Min,Buildings_Damaged_Max,Insured_Damage_Min,Insured_Damage_Max,Insured_Damage_Unit,Insured_Damage_Inflation_Adjusted,Insured_Damage_Inflation_Adjusted_Year,Damage_Min,Damage_Max,Damage_Unit,Damage_Inflation_Adjusted,Damage_Inflation_Adjusted_Year
1,1,p4SZu9w,[],1.01,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,hdUf3ni,['DEU'],sub,['Germany '],[''],2021,7,14,2021,7,25,NULL,NULL,196,196,150,160,NULL,NULL,101000,103000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33400000000,33400000000,EUR,No,NULL
3,1,p4SZu9w,[],1.03,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,3JHVBUn,['DEU.2_1'],sub,['Bavaria&Germany '],[''],2021,7,14,2021,7,25,NULL,NULL,2,2,NULL,NULL,NULL,NULL,NULL,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,1,p4SZu9w,[],1.05,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,N4xcztE,['DEU.2.17_1'],sub,['Berchtesgadener Land&Bavaria&Germany'],[''],2021,7,17,2021,7,17,NULL,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,1,p4SZu9w,[],1.06,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,in52NbW,['DEU.11.31.7.5_1'],sub,['Kordel&Trier-Saarburg&Rhineland-Palatinate&Germany'],[''],2021,7,14,2021,7,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,1,p4SZu9w,[],1.07,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,Jxx7Xpj,['DEU.10.47.4.1_1'],sub,['Eschweiler&North Rhine-Westphalia&Germany'],[''],2021,7,16,2021,7,16,NULL,NULL,NULL,NULL,301,401,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,1,p4SZu9w,[],1.08,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,h2ckt9T,['DEU.14_1'],sub,['Saxony&Germany'],[''],2021,7,15,2021,7,17,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,1,p4SZu9w,[],1.09,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,NYFUSvn,['DEU.11.1_1'],sub,['district of Ahrweiler&Rhineland-Palatinate&Germany'],[''],2021,7,14,2021,7,25,NULL,NULL,135,135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1,p4SZu9w,[],1.10,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,qfntayL,['DEU.10_1'],sub,['North Rhine-Westphalia&Germany'],[''],2021,7,14,2021,7,25,NULL,NULL,47,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,p4SZu9w,[],1.11,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,QZcGCKj,['DEU.10.13_1'],sub,['Euskirchen&North Rhine-Westphalia&Germany'],[''],2021,7,14,2021,7,25,NULL,NULL,27,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,1,p4SZu9w,[],1.12,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,u8Q76Sd,['DEU.10.13_1'],sub,['parts of Euskirchen&North Rhine-Westphalia&Germany'],[''],2021,7,15,2021,7,15,NULL,NULL,NULL,NULL,4500,4500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,1,p4SZu9w,[],1.13,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,RwMLe4J,['DEU.10.13_1'],sub,['near Euskirchen&North Rhine-Westphalia&Germany'],[''],2021,7,16,2021,7,16,NULL,NULL,NULL,NULL,350,370,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
