,parent_event_id,main_event,sub_events,Event_ID_decimal,Event_Type,Main_Event,Source,Event_Name,UUID,GID(s),level,Location,Hazard,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Injured_Min,Injured_Max,Deaths_Min,Deaths_Max,Displaced_Min,Displaced_Max,Homelessness_Min,Homelessness_Max,Affected_Min,Affected_Max,Buildings_Damaged_Min,Buildings_Damaged_Max,Insured_Damage_Min,Insured_Damage_Max,Insured_Damage_Unit,Insured_Damage_Inflation_Adjusted,Insured_Damage_Inflation_Adjusted_Year,Damage_Min,Damage_Max,Damage_Unit,Damage_Inflation_Adjusted,Damage_Inflation_Adjusted_Year
0,1,,"['hdUf3ni', 'i7bAYMQ', '3JHVBUn', '6riXbsi', 'N4xcztE', 'in52NbW', 'Jxx7Xpj', 'h2ckt9T', 'NYFUSvn', 'qfntayL', 'QZcGCKj', 'u8Q76Sd', 'RwMLe4J', 'viuTgQW', 'GDQTMTe', 'wwkAnRX', 'n8EDzvr', 'k6gUe6K', 'Kv8aMUS', 'XXSK6zJ', 'noMdKie', 'tDeNoyE', 'Zy8mzAN', 'ptT4gem', 'EUWRuRX', 'Fmoyrnf', 'UhzZJeE', 'Sdho8j2', 'zLzyP6a', 'BnJdYtK', 'JNcwYLx', 'NoHUshK', 'TWCF9tx', 'DwC5xip', 'FCDvDqK', 'nQmKsaM', 'VQbV3Qs', 'dVpzt62', 'Ss6j4eG', 'qT6ARMN', 'hAt24mw', 'pQBHzJf', 'JcEvjRz', 'p8hKjer', 'GQ5jb3t', 'PNURL8o', 'kQHbEyH', 'YZSJVLj']",1.00,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,p4SZu9w,"['GBR,AUT,BEL,HRV,DEU,ITA,LUX,NLD,CHE,ROU,CZE']",main,"['United Kingdom', 'Austria', 'Belgium', 'Croatia', 'Germany', 'Italy', 'Luxembourg', 'the Netherlands', 'Switzerland', 'Romania', 'Czech Republic']",['Flood'],2021,7,12,2021,7,25,NULL,NULL,243,244,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000000000,3000000000,EUR,No,NULL,46000000000,46000000000,EUR,No,NULL
49,36,,[],36.00,Multi,Wildfire,https://en.wikipedia.org/wiki?curid=7870060,2019 Australia Bushfires,62gUvmN,['AUS.5_1'],main,['New South Wales&Australia'],['Wildfire'],2019,9,NULL,2019,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,37,,[],37.00,Multi,Drought,https://en.wikipedia.org/wiki?curid=7870060,2017-2019 East Australia Drought,JfRUDVr,"['AUS.7_1,AUS.5_1,AUS.10_1,AUS.9_1']",main,"['Queensland&Australia', 'New South Wales&Australia', 'Victoria&Australia', 'Tasmania&Australia']",['Drought'],2017,NULL,NULL,2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28400,28600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,38,,[],38.00,Multi,Wildfire,https://en.wikipedia.org/wiki?curid=7870060,1983 Southeast Australia Bushfires,dCvkPWF,"['AUS.8_1,AUS.10_1']",main,"['South Australia&Australia', 'Victoria&Australia']",['Wildfire'],1983,2,NULL,1983,2,NULL,NULL,NULL,75,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,39,,[],39.00,Multi,Drought,https://en.wikipedia.org/wiki?curid=7870060,1990s Queensland Drought,usVfan7,['AUS.7_1'],main,['Queensland&Australia'],['Drought'],1991,NULL,NULL,1995,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13001,14001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,40,,[],40.00,Multi,Drought,https://en.wikipedia.org/wiki?curid=7870060,Millenium Drought in southeastern Australia,gZfMvgM,"['AUS.5_1,AUS.7_1']",main,"['New South Wales&Australia', 'Queensland&Australia']",['Drought'],2001,NULL,NULL,2011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,20000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,42,,[],42.00,Single,Drought,https://en.wikipedia.org/wiki?curid=51630189,2006-2008 Southeastern United States Drought,NHGP99h,"['USA.25_1,USA.11_1,USA.43_1,USA.34_1']",main,"['Southeastern USA&USA', 'Mississippi&USA', 'Georgia&USA', 'Tennessee&USA', 'North Carolina&USA  ']",['Drought'],2006,NULL,NULL,2008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1300000000,1300000000,USD,No,NULL
59,43,,"['aCLxtos', 'HXF4dNB']",43.00,Single,Tornado,https://en.wikipedia.org/wiki?curid=38322978,November 2005 Central United States Tornado Outbreak,UuppFUt,"['USA.17_1,USA.26_1,USA.4_1,USA.19_1,USA.25_1,USA.1_1']",main,"['Kansas&USA', 'Missouri&USA', 'Arkansas&USA', 'Louisiana&USA', 'Mississippi&USA', 'Alabama&USA']",['Wind'],2005,11,27,2005,11,28,15,15,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7200000,7200000,USD,No,NULL
62,44,,['hEvdmMS'],44.00,Multi,Tornado,https://en.wikipedia.org/wiki?curid=63743200,"Tornado outbreak of April 21–23, 2020",nnzvBZ7,"['USA.37_1,USA.44_1,USA.4_1,USA.19_1,USA.25_1,USA.1_1,USA.10_1,USA.11_1']",main,"['Oklahoma&USA', 'Texas&USA', 'Arkansas&USA', 'Louisiana&USA', 'Mississippi&USA', 'Alabama&USA', 'Florida&USA', 'Georgia&USA']",['Wind'],2020,4,21,2020,4,23,64,64,7,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1100000000,1100000000,USD,No,2020
64,45,,"['ikGLn2b', 'xC3Pr43']",45.00,Multi,Tornado,https://en.wikipedia.org/wiki?curid=63743200,"Tornado outbreak of April 21–23, 2020",dxKrGjG,['USA.44.187_1'],main,"['Onalaska&Polk&Texas&USA', 'Seven Oaks&Polk&Texas&USA']",['Wind'],2020,4,22,2020,4,22,33,33,3,3,NULL,NULL,NULL,NULL,NULL,NULL,291,291,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
