,parent_event_id,main_event,sub_events,Event_ID_decimal,Event_Type,Main_Event,Source,Event_Name,UUID,GID(s),Location,Hazard,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Injured_Min,Injured_Max,Deaths_Min,Deaths_Max,Displaced_Min,Displaced_Max,Homelessness_Min,Homelessness_Max,Affected_Min,Affected_Max,Buildings_Damaged_Min,Buildings_Damaged_Max,Insured_Damage_Min,Insured_Damage_Max,Insured_Damage_Unit,Insured_Damage_Inflation_Adjusted,Insured_Damage_Inflation_Adjusted_Year,Damage_Min,Damage_Max,Damage_Unit,Damage_Inflation_Adjusted,Damage_Inflation_Adjusted_Year
0,1,,[],1.00,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,QhWme8z,"['GBR,AUT,BEL,HRV,DEU,ITA,LUX,NLD,CHE,ROU,CZE']","['United Kingdom', 'Austria', 'Belgium', 'Croatia', 'Germany', 'Italy', 'Luxembourg', 'the Netherlands', 'Switzerland', 'Romania']",Flood,2021,7,12,2021,7,25,NULL,NULL,243,244,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2550000000,2550000000,EUR,No,NULL,10000000000,54000000000,EUR,No,NULL
1,1,,[],1.01,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,PWkukeM,['DEU'],['Germany '],,2021,7,12,2021,7,25,NULL,NULL,196,196,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33400000000,33400000000,EUR,No,NULL
2,1,,[],1.02,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,6kvnQse,['DEU'],['Germany'],,2021,7,19,2021,7,19,NULL,NULL,NULL,NULL,150,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,1,,[],1.03,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,yjGDTKa,['DEU.2_1'],['Bavaria&Germany '],,2021,7,14,2021,7,19,NULL,NULL,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,1,,[],1.04,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,bGdkev3,['DEU.2_1'],['Bavaria&Germany'],,2021,7,17,2021,7,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,1,,[],1.05,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,RW5C2iZ,['DEU.2.17_1'],['Berchtesgadener Ache&Bavaria&Germany'],,2021,7,17,2021,7,17,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,1,,[],1.06,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,FA2nqEy,['DEU.11.31.7.5_1'],['Kordel&Trier-Saarburg&Germany'],,2021,7,14,2021,7,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000,2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,1,,[],1.07,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,2iuphk7,['DEU.10.47.4.1_1'],['Eschweiler&Germany'],,2021,7,16,2021,7,16,NULL,NULL,NULL,NULL,300,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,1,,[],1.08,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,hxgTRtK,['DEU.14_1'],['Saxony&Germany'],,2021,7,15,2021,7,17,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,1,,[],1.09,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,EapTB5v,['DEU.11.1_1'],['district of Ahrweiler&Rhineland-Palatinate&Germany'],,2021,7,14,2021,7,19,NULL,NULL,135,135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1,,[],1.10,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,ZbWMbh4,['DEU.10_1'],['North Rhine-Westphalia&Germany'],,2021,7,14,2021,7,19,NULL,NULL,47,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
