index,Rank,Cyclone,Year,Min. pressure
0,1,Gwenda,1999,900 hPa (26.58 inHg)
1,1,Inigo,2003,900 hPa (26.58 inHg)
2,3,George,2007,902 hPa (26.64 inHg)
3,4,Orson,1989,904 hPa (26.70 inHg)[1]
4,5,Marcus,2018,905 hPa (26.72 inHg)
5,6,Theodore,1994,910 hPa (26.87 inHg)
6,6,Vance,1999,910 hPa (26.87 inHg)
7,6,Fay,2004,910 hPa (26.87 inHg)
8,6,Glenda,2006,910 hPa (26.87 inHg)
9,Source: Australian Bureau of Meteorology[11],Source: Australian Bureau of Meteorology[11],Source: Australian Bureau of Meteorology[11],Source: Australian Bureau of Meteorology[11]
