index,0,1
0,Surface weather analysis of the hurricane on June 24,Surface weather analysis of the hurricane on June 24
1,Meteorological history,Meteorological history
2,Formed,"June 20, 1945"
3,Extratropical,June 27
4,Dissipated,"July 4, 1945"
5,Category 2 hurricane,Category 2 hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,100 mph (155 km/h)
8,Lowest pressure,<985 mbar (hPa); <29.09 inHg
9,Overall effects,Overall effects
10,Fatalities,1
11,Damage,"$75,000 (1945 USD)"
12,Areas affected,"Big Bend (Florida), Georgia and South Carolina, Outer Banks (North Carolina)"
13,IBTrACS,IBTrACS
14,Part of the 1945 Atlantic hurricane season,Part of the 1945 Atlantic hurricane season
