,0,1
0,"Tornado damage near Plumerville, AR from November 27, 2005","Tornado damage near Plumerville, AR from November 27, 2005"
1,,
2,,
3,Type,Tornado outbreak
4,Duration,"November 27 – 28, 2005"
5,,
6,,
7,Tornadoes confirmed,73
8,Max. rating1,F3 tornado
9,Duration of tornado outbreak2,"29 hours, 42 minutes"
10,,
11,,
12,Fatalities,"2 fatalities, 15 injuries"
13,Damage,$7.2 million [1]
14,Areas affected,"Kansas, Missouri, Arkansas, Louisiana, Mississippi, Alabama"
15,1Most severe tornado damage; see Fujita scale 2Time from first tornado to last tornado,1Most severe tornado damage; see Fujita scale 2Time from first tornado to last tornado
