index,0,1
0,August 10 radar composite from 8am to 7pm CDT,August 10 radar composite from 8am to 7pm CDT
1,Date(s),"August 10, 2020; 4 years ago"
2,Duration,14 hours[1]
3,Track length,"770 mi (1,240 km)[1]"
4,Peak wind gust (measured),"126 mph (203 km/h; 56.3 m/s) (Atkins, Iowa, United States)[2]"
5,Peak wind gust (est.),"140 mph (225 km/h; 62.6 m/s) (Cedar Rapids, Iowa)[2]"
6,Largest hail,"2 in (5.1 cm) (Freeport, Illinois)[2]"
7,Tornado count,26
8,Strongest tornado1,EF1 tornado
9,Fatalities,4
10,Damage costs,$11.2 billion (2020 USD) Costliest on record for a thunderstorm event[3][4][5]
11,Types of damage,"Widespread damage to residential and commercial property, agriculture, and public utility infrastructure, some severe, affecting millions.[2][6][7][1]"
12,Areas affected,Midwestern United States State Breakdown Significantly Affected South Dakota (SE)Nebraska (NE)IowaIllinoisWisconsin (S)Indiana (N) Lesser Affected MissouriMichiganOhioKentucky [1][8]
13,Severest impact,"Cedar Rapids, Iowa area[9][10][11]"
14,1Most severe tornado damage; see Enhanced Fujita scale,1Most severe tornado damage; see Enhanced Fujita scale
