index,EF#,Location,County / Parish,State,Start Coord.,Time (UTC),Path length,Max width,Damage[note 2],Summary
0,EF2,SE of Oneonta,Blount,AL,33°52′18″N 86°26′45″W﻿ / ﻿33.8716°N 86.4459°W,1447–1457,6.04 mi (9.72 km),675 yd (617 m),"$960,000","The Appalachian School property sustained damage, several hundred trees were snapped or uprooted, and many chicken houses were damaged or destroyed. Many garages, sheds, and outbuildings were destroyed. At least 25 homes sustained major damage while dozens more sustained lesser damage. A mobile home was destroyed and several others were damaged, a few feed silos were tipped over and rolled, and hundreds of livestock were killed by flying debris.[10]"
1,EF2,N of Piedmont,Cherokee,AL,33°59′01″N 85°37′46″W﻿ / ﻿33.9835°N 85.6295°W,1550–1554,3.61 mi (5.81 km),50 yd (46 m),"$75,000","Metal roofing panels were torn from a barn, and half the roof was torn from a brick house. Two other homes and a barn also sustained structural damage. Numerous trees were snapped or uprooted.[11]"
2,EF3,NW of Aragon to W of Emerson,"Polk, Floyd, Bartow",GA,34°05′N 85°07′W﻿ / ﻿34.09°N 85.11°W,1625–1645,16.93 mi (27.25 km),880 yd (800 m),"$7,500,000","2 deaths – A significant tornado began in Polk County, affecting 16 houses; 4 were destroyed (killing an occupant), 2 sustained major damage, 5 sustained minor damage, and 5 sustained even lesser damage. Several county outbuildings, barns, shops, vehicles, a motor home, a travel trailer, a dog kennel business, and several fences were heavily damaged. Hundreds of trees and power lines were downed, including several high tension power line support structures that were heavily impacted. Another 20 homes were impacted in Floyd County, with 10 destroyed (killing an occupant) and 10 affected insignificantly. Approximately 55 homes were affected in Bartow County, of which 6 were destroyed and 30 sustained minor damage. Taylorsville Elementary and Woodland High School sustained major damage, and some Georgia Power high transmission towers were toppled.[12][13][14]"
3,EF0,S of Royston,"Franklin, Hart",GA,34°16′23″N 83°10′34″W﻿ / ﻿34.273°N 83.176°W,1844–1851,3.24 mi (5.21 km),20 yd (18 m),$0,Trees and power lines were downed; a tree fell on a home.[15][16]
4,EF0,NE of Abbeville,Abbeville,SC,34°14′29″N 82°18′21″W﻿ / ﻿34.2414°N 82.3058°W,1943,0.5 mi (0.80 km),20 yd (18 m),$0,Trees and power lines were downed.[17]
5,EF1,NE of Winnsboro to SE of Kershaw,"Fairfield, Kershaw",SC,34°27′N 80°58′W﻿ / ﻿34.45°N 80.97°W,2010–2039,24.22 mi (38.98 km),80 yd (73 m),$0,A long-tracked tornado snapped or uprooted numerous trees onto secondary roadways.[18][19]
6,EF2,SSW of Calhoun Falls,Elbert,GA,34°00′27″N 82°44′03″W﻿ / ﻿34.0074°N 82.7341°W,2019–2030,8.04 mi (12.94 km),100 yd (91 m),"$100,000","Numerous trees were snapped or uprooted, two homes sustained heavy roof damage, a boat dock was tossed 25 ft (8.3 yd), and power lines were downed.[20]"
7,EF3,Silverstreet to Prosperity to N of Chapin,"Newberry, Richland",SC,34°14′N 81°46′W﻿ / ﻿34.23°N 81.76°W,2025–2047,27.51 mi (44.27 km),"1,320 yd (1,210 m)","$10,000","Many residences were heavily damaged, a few mobile homes sustained moderate damage, numerous trees were snapped or uprooted, and power lines were downed. Two people were injured.[21][22]"
8,EF1,SE of Calhoun Falls,"Lincoln, McCormick","GA, SC",33°57′36″N 82°35′35″W﻿ / ﻿33.96°N 82.593°W,2028–2047,12.62 mi (20.31 km),440 yd (400 m),Unknown,"Several mobile homes sustained minor to moderate damage, and numerous trees were downed.[23][24]"
9,EF2,W of Camden to NW of Bethune,Kershaw,SC,34°16′N 80°43′W﻿ / ﻿34.27°N 80.72°W,2030–2050,23.04 mi (37.08 km),660 yd (600 m),Unknown,"Several homes and mobiles homes sustained moderate damage, mainly in the form of partially torn off roofs. A building on a poultry farm had its entire roof ripped off as well.[25]"
10,EF1,N of McBee,Chesterfield,SC,34°32′42″N 80°18′00″W﻿ / ﻿34.545°N 80.3°W,2047–2100,6.97 mi (11.22 km),110 yd (100 m),"$25,000","A few mobile homes and a water tower sustained minor damage, while many trees and power lines were downed.[26]"
11,EF2,ENE of McCormick to SW of Monetta,"McCormick, Edgefield, Saluda",SC,33°57′N 82°11′W﻿ / ﻿33.95°N 82.19°W,2102–2130,32.67 mi (52.58 km),660 yd (600 m),Unknown,"Numerous trees and power lines were downed. One house and one mobile home were severely damaged, a second mobile home was split in two by a fallen tree, and several other houses and mobile homes sustained minor damage.[27][28][29]"
12,EF2,Elgin,Kershaw,SC,34°11′N 80°50′W﻿ / ﻿34.18°N 80.83°W,2122–2131,6.89 mi (11.09 km),"1,230 yd (1,120 m)",Unknown,"Many houses had portions of its their roofs ripped off, four mobile homes were destroyed, and numerous trees and power lines were downed. Two people were injured.[30]"
13,EF0,Lugoff,Kershaw,SC,34°13′N 80°40′W﻿ / ﻿34.22°N 80.67°W,2133,0.5 mi (0.80 km),100 yd (91 m),Unknown,"Several homes sustained minor damage, and trees were downed.[31]"
14,EF0,SE of Monetta,Aiken,SC,33°49′06″N 81°34′52″W﻿ / ﻿33.8183°N 81.581°W,2137–2138,0.5 mi (0.80 km),100 yd (91 m),$0,Trees were downed.[32]
15,EF2,WNW of Pelion,Lexington,SC,33°48′00″N 81°23′06″W﻿ / ﻿33.8°N 81.385°W,2141–2154,8.33 mi (13.41 km),440 yd (400 m),Unknown,"A mobile home was severely damaged, farm irrigation equipment was rolled and twisted, and numerous trees and power lines were downed. Several other mobile homes sustained lesser damage.[33]"
16,EF1,SE of Blythewood,Richland,SC,34°10′N 80°56′W﻿ / ﻿34.17°N 80.93°W,2143–2150,3.7 mi (6.0 km),660 yd (600 m),Unknown,A few homes had their roofs torn off while others only had portions removed. Numerous trees and power lines were downed.[34]
