,0,1
0,Typhoon Kate west of the Philippines on October 22,Typhoon Kate west of the Philippines on October 22
1,Meteorological history,Meteorological history
2,Formed,"October 14, 1970"
3,Dissipated,"October 25, 1970"
4,Typhoon,Typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Lowest pressure,940 hPa (mbar); 27.76 inHg
7,Category 4-equivalent super typhoon,Category 4-equivalent super typhoon
8,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
9,Highest winds,240 km/h (150 mph)
10,Lowest pressure,941 hPa (mbar); 27.79 inHg
11,Overall effects,Overall effects
12,Fatalities,631
13,Missing,284
14,Damage,$50 million (1970 USD)
15,Areas affected,"Philippines, Indonesia, Vietnam"
16,IBTrACS,IBTrACS
17,Part of the 1970 Pacific typhoon season,Part of the 1970 Pacific typhoon season
