index,sentences
0,The 2008 South China floods began on 26 May 2008.
1,Four rounds of torrential rains with landslides and flooding lasted for 20 days and affected fifteen provinces in Eastern and Southern China.
2,The first round of floods affected twelve provinces in South China and killed 93 people as of 30 May.
3,A new round of floods began on 6 June and swept nine provinces in southern China killing 55 people with 7 missing and forcing 1.3 million to evacuate as of 14 June.
4,"China's National Meteorological Centre has said that heavy rain would continue and that precipitation in the provinces of Guizhou, Sichuan and Yunnan would be 30 to 70% greater than in the same period last year."
5,"-Mainland China-
Mainland provinces affected include Anhui, Hunan, Jiangxi, Fujian and Guangdong."
6,"--May--
China Daily that torrential rains caused by Cloud seeding in the southern provinces killed 64 people in May."
7,"According to State Flood Control and Drought Relief headquarters, floods have claimed 59 lives up to this point of the year."
8,"--June--
From 28 May to 2 June, some places in Guangdong experienced heavy rainfalls."
9,"After 7 days, flood situations were investigated by the China Meteorological Administration(CMA) on 3 June."
10,The State Flood Control and Drought Relief headquarters and National Meteorological Centre(NMC) both raised emergency levels expecting more torrential rain and thunderstorms.
11,"On the weekend of 7–8 June, Guangzhou Daily reported it to be the heaviest rain storm in 50 years for Guangdong province."
12,Wuzhou was struck with their worst flooding in 100 years.
13,In two days the rainfall in some areas measured more than 400 millimetres(15.7 inches).
14,"On 14 June, the Ministry of Water Resources said close to 1 million hectares of farmland have been affected with the worst hit provinces being Guangdong, Fujian, Jiangxi, Hunan and Hubei."
15,"From 25 May to 14 June, up to 18 people have died, including 2.22 million people were affected in 17 cities in Guangdong."
16,"The average rainfall of 415 mm(16.3 in) was double the long-term level, with the media reporting it as ""Freak rain""."
17,"On 15 June, more than 300 places in Shenzhen were submerged underwater."
18,"Floods have forced more than 1.66 million people to evacuate, caused 67,000 houses to collapse, and killed 63 people."
19,"Three days later officials in Guangdong warned of a ""black June"" as high tides, rain and rivers threatened levees."
20,"Across the region, 169 were reported killed in the floods."
21,"On 21 June, the main precipitation areas include the Huai River valleys, Guizhou, Sichuan and the middle and lower reaches of the Yangtze River."
22,"Heavy rain follow in Jiangsu, Anhui, Henan, Hubei, Chongqing, Sichuan, Qinghai, and Inner Mongolia."
23,"At the end of the month, 252 people were killed in the rainstorms and flooding."
24,"-Hong Kong-
--June--
On 7 June, more than 400 mm(16 in) of rain fell on Lantau Island and more than 300 mm(12 in) fell on Hong Kong Island."
25,"By noon, almost 40 landslides and 156 floods were reported."
26,"In Tsim Sha Tsui, the 124-year record of rainfall per hour was smashed, with 145.5 mm(5.73 inches) of rainfall being recorded."
27,"The North Lantau Highway was blocked, for the first and so far the only time since its opening in 1997, by a landslide."
28,"Land traffic to the villages of Tai O was cut off, forcing the government to increase the frequency of ferries to and from the villages."
29,"Newspaper vendors in the streets reported that the water came very fast, flooding the area within five minutes to thigh-deep level(over-the-knee)."
30,One of the landslides killed two people in Tuen Mun.
31,"The Hong Kong Observatory thus changed the ""amber rainstorm"" warning to a ""black rainstorm"" warning."
