,0,1
0,Tropical Storm Laura at peak intensity on September 30,Tropical Storm Laura at peak intensity on September 30
1,Meteorological history,Meteorological history
2,Formed,"September 29, 2008"
3,Extratropical,"October 1, 2008"
4,Dissipated,"October 4, 2008"
5,Tropical storm,Tropical storm
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,60 mph (95 km/h)
8,Lowest pressure,994 mbar (hPa); 29.35 inHg (990 mbar (29.53 inHg) while extratropical)
9,Overall effects,Overall effects
10,Fatalities,
11,Damage,Minimal
12,Areas affected,"Azores, Atlantic Canada, Greenland, Europe"
13,IBTrACS,IBTrACS
14,Part of the 2008 Atlantic hurricane season,Part of the 2008 Atlantic hurricane season
