,2007–08 Australian region cyclone season,2007–08 Australian region cyclone season.1
0,Season summary map,Season summary map
1,Seasonal boundaries,Seasonal boundaries
2,First system formed,29 July 2007
3,Last system dissipated,26 April 2008
4,Strongest storm,Strongest storm
5,,
6,Name,Pancho
7,• Maximum winds,165 km/h (105 mph) (10-minute sustained)
8,• Lowest pressure,938 hPa (mbar)
9,Seasonal statistics,Seasonal statistics
10,Tropical lows,14
11,Tropical cyclones,10
12,Severe tropical cyclones,3
13,Total fatalities,149
14,Total damage,$93.8 million (2008 USD)
15,Related articles,Related articles
16,Timeline of the 2007–08 Australian region cyclone season 2007–08 South-West Indian Ocean cyclone season 2007–08 South Pacific cyclone season,Timeline of the 2007–08 Australian region cyclone season 2007–08 South-West Indian Ocean cyclone season 2007–08 South Pacific cyclone season
17,"Australian region tropical cyclone seasons 2005–06, 2006–07, 2007–08, 2008–09, 2009–10","Australian region tropical cyclone seasons 2005–06, 2006–07, 2007–08, 2008–09, 2009–10"
