,Name,Dates,Peak intensity,Peak intensity,Peak intensity,Areas affected,Damage (USD),Deaths,Refs
,Name,Dates,Category,Wind speed,Pressure,Areas affected,Damage (USD),Deaths,Refs
0,01U,27–31 July,Category 1 tropical cyclone,75 km/h (45 mph),992 hPa (29.29 inHg),,,,
1,Lee-Ariel,11 - 15 November 2007,Category 2 tropical cyclone,95 km/h (60 mph),984 hPa (29.06 inHg),,,,[82]
2,Guba,13–19 November,Category 3 tropical cyclone,140 km/h (87 mph),970 hPa (28.64 inHg),"Papua New Guinea, Queensland",$71.4 million,149,
3,04U (Dama),21–22 December,Tropical Low,55 km/h (34 mph),998 hPa (29.47 inHg),,,,
4,Melanie,28 December–2 January,Category 2 tropical cyclone,110 km/h (70 mph),962 hPa (28.41 inHg),,,,
5,Helen,31 December - 7 January,Category 2 tropical cyclone,95 km/h (60 mph),975 hPa (28.79 inHg),Northern Australia,$22.4 million,,
6,07U,31 December- 2 January,Tropical Low,55 km/h (34 mph),994 hPa (29.35 inHg),,,,
7,Low (17S),2–10 February,Tropical Low,55 km/h (34 mph),990 hPa (29.23 inHg),,,,
8,Nicholas,10–20 February,Category 3 tropical cyclone,130 km/h (81 mph),956 hPa (28.23 inHg),Western Australia,,,
9,Ophelia,29 February - 7 March 2008,Category 2 tropical cyclone,100 km/h (65 mph),985 hPa (29.09 inHg),"Northern Territory, Western Australia",,,[83]
10,20P,29 February,Tropical Low,55 km/h (34 mph),999 hPa (29.5 inHg),,,,
11,Pancho,25–29 March,Category 4 tropical cyclone,165 km/h (103 mph),938 hPa (27.70 inHg),"Christmas Island, Western Australia",,,
12,Rosie,20 - 24 April 2008,Category 2 tropical cyclone,95 km/h (60 mph),988 hPa (29.18 inHg),Christmas Island,Unknown,,[84]
13,Durga,20 - 26 April 2008,Category 2 tropical cyclone,95 km/h (60 mph),988 hPa (29.18 inHg),,,,[85]
14,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates
15,12,27 July – 24 April,,175 km/h (109 mph),934 hPa (27.58 inHg),,,,
