,0,1
0,Tropical Storm Kiko at peak strength,Tropical Storm Kiko at peak strength
1,Meteorological history,Meteorological history
2,Formed,"October 15, 2007"
3,Dissipated,"October 23, 2007"
4,Tropical storm,Tropical storm
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,70 mph (110 km/h)
7,Lowest pressure,991 mbar (hPa); 29.26 inHg
8,Overall effects,Overall effects
9,Fatalities,15 direct
10,Missing,9
11,Damage,$1.08 million (2007 USD)
12,Areas affected,Western Mexico
13,IBTrACS,IBTrACS
14,Part of the 2007 Pacific hurricane season,Part of the 2007 Pacific hurricane season
