,EF#,Location,County / Parish,State,Start Coord.,Date,Time (UTC),Path length,Max width,Summary
0,EF3,W of Pennington,Houston,TX,31°10′03″N 95°18′48″W﻿ / ﻿31.1674°N 95.3132°W,Dec. 25,1505 – 1515,9.72 mi (15.64 km),300 yd (270 m),"An agricultural feed store and restaurant were completely destroyed, and several houses and trailers were damaged, some severely. Numerous trees were downed as well.[27]"
1,EF0,NNW of Pennington,Houston,TX,31°10′N 95°17′W﻿ / ﻿31.16°N 95.28°W,Dec. 25,1540 – 1541,0.3 mi (480 m),30 yd (27 m),"Near the site of the previous tornado, law enforcement observed a brief tornado that lofted debris but did no structural damage.[28]"
2,EF0,N of Slagle,Vernon,LA,31°13′N 93°08′W﻿ / ﻿31.22°N 93.13°W,Dec. 25,1815 – 1817,0.24 mi (0.39 km),50 yd (46 m),"A brief, weak tornado downed several trees and destroyed a shed.[29]"
3,EF0,E of Pitkin,Vernon,LA,30°56′N 92°53′W﻿ / ﻿30.94°N 92.89°W,Dec. 25,1843 – 1845,2.19 mi (3.52 km),200 yd (180 m),"As many as 40 trees were downed, one of which fell on a mobile home. The roof was partially removed from a barn as well.[30]"
4,EF2,Tioga,Rapides,LA,31°23′N 92°26′W﻿ / ﻿31.38°N 92.43°W,Dec. 25,1845 – 1848,4.62 mi (7.44 km),500 yd (460 m),"At least 43 houses were damaged in the town of Tioga, with one losing most of its roof. A carwash was destroyed, and five trailers were flipped over. At an industrial complex, large doors were blown in and large portions of roofs were peeled off. At Tioga Elementary School, part of the roof was removed from the gym. One person was injured.[31]"
5,EF2,Alexandria,Rapides,LA,31°17′N 92°28′W﻿ / ﻿31.29°N 92.46°W,Dec. 25,1850 – 1851,0.77 mi (1.24 km),200 yd (180 m),"Many buildings were damaged by this brief, but strong tornado that touched down near downtown Alexandria. Several businesses had their roofs torn off, and many houses and a church sustained considerable roof damage. Many trees were downed as well, some of which landed on homes.[32]"
6,EF1,SW of Jonesville,Catahoula,LA,31°31′N 91°57′W﻿ / ﻿31.52°N 91.95°W,Dec. 25,1919 – 1922,2.55 mi (4.10 km),300 yd (270 m),"One mobile home was destroyed, and several other mobile homes and sheds were damaged. Two doors were blown off of a warehouse, a porch was ripped from a mobile home, and numerous trees were downed, one of which fell on a house.[33]"
7,EF1,Centreville,"Wilkinson, Amite",MS,31°05′N 91°04′W﻿ / ﻿31.08°N 91.07°W,Dec. 25,2031 – 2038,2.75 mi (4.43 km),250 yd (230 m),"This tornado touched down at the south edge of Centreville and downed several trees and power poles as it moved into town, with one tree falling onto a house and collapsing a wall. A tire service station lost its canopy, and the Centreville Headstart lost a metal awning. It then downed several more trees, with one falling on a car. A mobile home lost its exterior walls, and two houses had trees fall on them. Around this time, the tornado crossed into Amite County, where it continued east-northeastward and downed many trees. It also caused minor structural damage at one residence, leading to the collapsing of a carport, before lifting. One person was injured.[34][35]"
8,EF1,W of Dixons Mills,Marengo,AL,32°01′26″N 87°52′07″W﻿ / ﻿32.0238°N 87.8687°W,Dec. 25,2115 – 2121,4.7 mi (7.6 km),100 yd (91 m),Numerous trees were downed and a few structures suffered minor damage.[36]
9,EF3,SW of McNeill to McLain,"Pearl River, Stone, Forrest, Perry, Greene",MS,30°39′00″N 89°40′52″W﻿ / ﻿30.650°N 89.681°W,Dec. 25,2120 – 2234,60.72 mi (97.72 km),300 yd (270 m),See section on this tornado – Twelve people were injured; eight in Pearl River County and four in Forrest County.[37][38][39][40][41]
