index,0,1
0,Tropical Storm Josephine in the Gulf of Mexico shortly after peak intensity on October 7,Tropical Storm Josephine in the Gulf of Mexico shortly after peak intensity on October 7
1,Meteorological history,Meteorological history
2,Formed,"October 4, 1996"
3,Extratropical,"October 8, 1996"
4,Dissipated,"October 13, 1996"
5,Tropical storm,Tropical storm
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,70 mph (110 km/h)
8,Lowest pressure,981 mbar (hPa); 28.97 inHg
9,Overall effects,Overall effects
10,Fatalities,3 indirect
11,Damage,$130 million (1996 USD)
12,Areas affected,"Southeastern United States, Mid-Atlantic, Northeastern United States, Atlantic Canada"
13,IBTrACS,IBTrACS
14,Part of the 1996 Atlantic hurricane season,Part of the 1996 Atlantic hurricane season
