index,0,1,2,3,4,5
0,Source,Date,Named storms,Hurricanes,Major hurricanes,Ref
1,Average (1950–2004),Average (1950–2004),10.0,6.0,2.6,[3]
2,,,,,,
3,CSU,"December 3, 2004",11,6,3,[4]
4,TSR,"December 10, 2004",9.6,5.7,3.3,[5]
5,TSR,"January 5, 2005",13.9,7.8,3.6,[5]
6,TSR,"February 9, 2005",13.6,7.7,3.5,[5]
7,TSR,"March 7, 2005",14.0,7.9,3.6,[5]
8,CSU,"April 1, 2005",13,7,3,[6]
9,TSR,"April 5, 2005",13.9,7.8,3.6,[5]
10,InsMet,"May 2, 2005",13,7,,[5]
11,TSR,"May 5, 2005",13.9,7.8,3.6,[5]
12,NOAA,"May 16, 2005",12–15,7–9,3–5,[7]
13,CSU,"May 31, 2005",15,8,4,[8]
14,TSR,"June 7, 2005",13.8,7.8,3.5,[5]
15,TSR,"July 7, 2005",15.3,8.8,4.1,[5]
16,InsMet,"August 1, 2005",20,9,,[9]
17,NOAA,"August 2, 2005",18–21,9–11,5–7,[10]
18,TSR,"August 5, 2005",22.1,11.4,7.8,[9]
19,CSU,"August 5, 2005",20,10,6,[11]
20,CSU,"September 2, 2005",20,10,6,[12]
21,CSU,"October 3, 2005",20,11,6,[13]
22,,,,,,
23,,Actual activity,28,15,7,[14]
