index,0,1
0,Betsy near landfall in Puerto Rico,Betsy near landfall in Puerto Rico
1,Meteorological history,Meteorological history
2,Formed,"August 9, 1956"
3,Dissipated,"August 18, 1956"
4,Category 3 major hurricane,Category 3 major hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,120 mph (195 km/h)
7,Lowest pressure,954 mbar (hPa); 28.17 inHg
8,Overall effects,Overall effects
9,Fatalities,37
10,Damage,$50 million (1956 USD)
11,Areas affected,"Lesser Antilles, U.S. Virgin Islands, Puerto Rico, Hispaniola, Bahamas, East Coast of the United States"
12,IBTrACS,IBTrACS
13,Part of the 1956 Atlantic hurricane season,Part of the 1956 Atlantic hurricane season
